Longitude,Latitude,ListingIds
6.116018,46.1655214,"['4000881798', '4000935433', '4000965667', '4000897463']"
6.1357276,46.203414,"['4000665077', '4000665076', '4000665075', '4000665074']"
6.145868999999999,46.21335440000001,"['3003124973', '3003125497', '3003125498', '3003125493', '3003125492', '3003125491', '3003125490']"
6.1504447,46.201946,"['4000656611', '4000656612', '4000935533', '4000935532', '4000935530', '4000935529']"
6.1537619,46.19463529999999,"['4000973023', '4000862576', '4000958639', '4000908343']"
6.1575397,46.1896788,"['4000933880', '4000976047', '4000941218', '4000961725']"
6.1662456,46.1976084,"['4000941950', '4000965654', '4000897457', '4000974614']"
6.1703123,46.1935318,"['4000969620', '4000972458', '4000956320', '4000930824']"
6.4879371,46.5054479,"['4000783726', '4000782364', '4000887451', '4000886398']"
6.58216,46.5368995,"['4000925183', '4000927833', '4000922770', '4000926130']"
6.582510500000001,46.54935390000001,"['4000775376', '4000696663', '4000696662', '3003215780', '3003214892', '3002946342']"
6.5878383,46.5364805,"['4000871254', '4000829964', '4000956893', '4000956891', '4000839149']"
6.666443699999999,46.73451559999999,"['4000911202', '4000911200', '4000911203', '4000911204', '4000911201']"
6.807468999999999,46.7875253,"['4000846955', '4000846954', '4000742006', '4000377773', '4000725133']"
6.8298688,47.1018897,"['4000774445', '4000748403', '4000748401', '4000748399', '4000748402', '4000748400', '4000748405', '4000748404', '4000748396']"
6.8298961,47.1019182,"['4000737399', '4000737394', '4000737385', '4000737384', '4000737401', '4000737400', '4000737398', '4000737395', '4000737393']"
6.8330268,46.9545583,"['4000962716', '4000971950', '4000962720', '4000962715']"
6.8405667,47.11767829999999,"['4000842722', '4000725294', '4000892008', '4000969572', '4000965732', '3003157589', '3003424874', '4000673936', '4000171826', '3003195093', '4000859185', '4000897901']"
6.9249238,46.9926798,"['4000519572', '4000639527', '4000340134', '4000644388', '4000639516', '3003155446']"
6.929069699999999,46.9894347,"['4000456542', '4000456468', '4000456449', '4000456536']"
6.9347376,46.9946944,"['4000974183', '4000974182', '4000974186', '4000974185', '4000974180', '4000974178', '4000974177', '4000974187', '4000974176', '4000974181', '4000974179']"
6.934815899999999,46.9947578,"['4000974200', '4000974197', '4000974196', '4000974188', '4000974189', '4000974191', '4000974202', '4000974201']"
6.9350385,46.9948577,"['4000974214', '4000974213', '4000974212', '4000974207', '4000974203', '4000974215', '4000974210', '4000974205', '4000974204', '4000974211', '4000974209', '4000974208']"
6.9594067,46.4276107,"['4000933736', '4000933734', '4000963644', '4000946521', '4000933735']"
7.006681500000001,47.48580930000001,"['4000881311', '4000881271', '4000881349', '4000881307', '4000881281']"
7.0108942,46.2520527,"['4000971141', '4000971135', '4000971131', '4000971129', '4000971126', '4000971122', '4000971120']"
7.0243839,46.7399327,"['4000929182', '4000940504', '4000940171', '4000929321', '4000861520', '4000861295']"
7.038063999999999,47.0519496,"['4000971157', '4000971038', '4000971036', '4000970991', '4000972274']"
7.0738802,47.4225539,"['4000169598', '4000755223', '4000955229', '4000164128', '4000939588', '4000523109', '4000173129', '4000941219', '4000694728']"
7.131720199999999,47.4268418,"['4000138110', '4000137952', '4000137980', '4000948732']"
7.1413072,46.7958443,"['4000943577', '4000962777', '4000948804', '4000904449']"
7.164741099999999,46.7715906,"['4000911195', '4000911197', '4000911199', '4000911193', '4000911198', '4000911196', '4000896835', '4000911194', '4000911192']"
7.179984999999999,46.1543845,"['4000235524', '4000235521', '4000235519', '4000235510']"
7.1988307,46.7679672,"['4000869291', '4000805457', '4000869245', '4000805490']"
7.2758243,47.3311613,"['4000940832', '4000940886', '3003152666', '4000924784', '4000854855']"
7.310834100000001,47.340338,"['3003151565', '3003150559', '3003150358', '3003151568', '3003150360']"
7.3324722,47.3668919,"['3003150577', '3003199753', '4000477008', '4000934874', '3003194776', '4000900564', '4000803270', '4000881218', '4000957422', '3003550530', '3003196236', '4000696482', '3003140107']"
7.3468994,47.3661581,"['4000243217', '4000243216', '4000243209', '4000243227', '4000243224', '4000243220', '4000247185', '4000770104', '4000243228', '4000243226', '4000243215', '4000243225', '4000243219']"
