Longitude,Latitude,ListingIds
8.3784606,46.9642621,"['4000859231', '4000859229', '4000917579', '4000917582', '4000917580', '4000859233', '4000917585']"
8.527458,47.3774203,"['4000887619', '4000887606', '4000947678', '4000929461', '4000929500']"
8.5314882,47.15582999999999,"['4000926705', '4000703012', '4000926704', '4000893159', '4000958550', '4000893542']"
8.5491818,47.4123773,"['4000947821', '4000947146', '4000843283', '4000842938', '4000843282', '4000842937']"
8.5716954,47.3584429,"['4000871472', '4000869819', '4000871469', '4000871467', '4000869800', '4000869781']"
8.5846024,47.139841,"['4000767816', '4000767815', '4000767811', '4000767817']"
8.5882624,47.2594675,"['4000870746', '4000769715', '4000769714', '4000946121']"
8.6056599,47.6832234,"['4000898753', '4000931316', '4000702974', '4000703031', '4000952073', '4000702601']"
8.6399274,47.5173321,"['4000940122', '4000939745', '4000940121', '4000939747']"
8.6750683,47.6250063,"['4000814393', '4000814455', '4000814415', '4000814271']"
8.7274362,47.19676519999999,"['4000871362', '4000906718', '4000871366', '4000871363', '4000871361']"
8.774979799999999,46.1640431,"['4000957915', '4000688881', '4000688880', '4000957906']"
8.8350098,47.1769241,"['4000962342', '4000961314', '4000962331', '4000961314']"
8.8377014,47.2355206,"['4000870026', '4000870025', '4000870024', '4000870023', '4000870022']"
8.8402285,47.44363420000001,"['4000740693', '4000740697', '4000929426', '4000929422', '4000929417', '4000740692', '4000740677']"
8.856196599999999,47.6665494,"['4000940840', '4000878603', '4000900530', '4000959822', '4000900529', '4000900528']"
8.8780536,45.9751396,"['3003324571', '3003296711', '4000942554', '4000719857']"
8.9402895,46.00966469999999,"['4000823939', '4000522384', '4000629339', '4000823939', '4000522384']"
8.9418624,46.0129713,"['4000611428', '4000611483', '4000611364', '4000611466']"
8.944227099999999,45.8544893,"['3002351075', '4000827099', '3002340719', '4000254675']"
8.945261799999999,45.9907174,"['4000685165', '4000611423', '4000611361', '4000685177', '4000611362', '4000823433']"
8.9507851,46.009366,"['4000933286', '4000847441', '4000958976', '4000944342', '4000804181', '4000668297', '4000611447', '4000327417', '4000943534', '4000891853', '4000731406', '4000726874', '4000824802', '4000795726', '4000512315', '4000959050', '4000958972', '4000799500', '4000741679', '4000899765', '4000879411', '4000879410', '4000191710', '4000836924', '4000747727', '4000738593', '4000550249', '4000727404', '4000403950', '4000799503', '3003154779', '4000760747', '4000609091', '4000947867', '4000360417', '4000611490', '4000356273', '4000715653', '4000611481', '4000611477', '4000611401', '4000611388']"
8.9572748,46.01711479999999,"['4000511915', '3003189579', '4000942547', '3003320384']"
8.971761299999999,46.3463536,"['3003494305', '4000732483', '3002461965', '4000400437']"
8.9722437,46.3456735,"['4000732932', '4000732584', '4000405379', '4000405473']"
8.9724377,46.346508,"['3003494108', '3003239032', '3002573407', '3002573382', '4000395581']"
8.9788569,45.8396625,"['4000940500', '3003149807', '4000948504', '4000718304']"
8.980623699999999,45.869526,"['3003189498', '3003189496', '3003189494', '3003189490', '3003189487', '3003189486']"
8.9828605,45.9107347,"['4000339592', '3003519149', '4000879235', '4000334848']"
8.985799499999999,47.4645972,"['4000948736', '4000948692', '4000948687', '4000948678', '4000948665']"
8.9879746,46.30632019999999,"['4000545951', '4000548306', '4000731187', '4000731186']"
9.0151717,46.1767939,"['3003138128', '3003136752', '3003136750', '3003136795']"
9.0205859,46.1873976,"['4000617215', '4000897197', '4000937477', '4000840896']"
9.0225765,46.1897534,"['4000921748', '4000921699', '4000921746', '4000921700']"
9.0238835,45.850209,"['4000831276', '4000830579', '4000830554', '4000360406']"
9.0251586,45.8357536,"['3003149799', '3003044771', '4000687528', '3003157457']"
9.0286606,47.1515773,"['4000801848', '4000567974', '4000864344', '4000158001']"
9.0315787,45.8336317,"['3003154085', '3003326399', '3003153879', '4000799494']"
9.0346595,46.2048591,"['4000818079', '4000818075', '4000853045', '4000853042', '4000818077', '4000847288']"
9.0886366,47.5486489,"['4000876101', '4000875752', '4000876100', '4000876098', '4000875748', '4000876097', '4000875753', '4000875749']"
9.1754381,47.640822,"['4000727963', '4000535670', '4000535669', '4000535616']"
9.2042052,46.7766412,"['4000501486', '4000437779', '4000891460', '4000865122', '4000447415', '4000956200']"
9.2509324,47.4162562,"['4000333580', '4000278487', '4000202465', '3003410940']"
9.2521735,47.4124287,"['3003410811', '4000121819', '4000775844', '4000775843', '3003410813']"
9.2530361,47.4963339,"['4000809313', '4000924775', '4000971314', '4000968043']"
9.2694937,47.3851488,"['4000694932', '4000694919', '4000694865', '4000694892']"
9.3068608,47.54911329999999,"['4000864537', '4000864539', '4000864538', '4000864536']"
9.3152724,47.4198955,"['4000664939', '4000664988', '4000665010', '4000673587']"
9.362099,47.426349,"['3003276084', '3002008582', '3002990380', '3001986190']"
9.3739827,47.4265491,"['4000858588', '4000870075', '4000869891', '4000858591']"
9.3802442,47.4294755,"['4000936779', '4000936763', '4000936780', '4000936754', '4000936762']"
9.4321627,47.5108112,"['4000970563', '4000929320', '4000700070', '4000700078']"
9.434791,47.305356,"['4000941354', '4000941353', '4000940979', '4000941349']"
9.5607314,47.4756966,"['4000735573', '4000735571', '4000734932', '4000735575']"
