ListingId;Feature
01f0e3cc-f414-482d-a3fa-c7627f00b144;Haustiere erlaubt
01f0e3cc-f414-482d-a3fa-c7627f00b144;Balkon / Terrasse
01f0e3cc-f414-482d-a3fa-c7627f00b144;Kabel-TV
01f0e3cc-f414-482d-a3fa-c7627f00b144;Rollstuhlgängig
01f0e3cc-f414-482d-a3fa-c7627f00b144;Kinderfreundlich
01f0e3cc-f414-482d-a3fa-c7627f00b144;Parkplatz
01f0e3cc-f414-482d-a3fa-c7627f00b144;Lift
969d811e-e835-4ca7-a946-cee6b4244b15;Haustiere erlaubt
969d811e-e835-4ca7-a946-cee6b4244b15;Mit Gartenhaus
969d811e-e835-4ca7-a946-cee6b4244b15;Parkplatz
969d811e-e835-4ca7-a946-cee6b4244b15;Lift
9ff4f920-a400-44b0-81d5-b819035f14ef;Balkon / Terrasse
9ff4f920-a400-44b0-81d5-b819035f14ef;Aussicht
9ff4f920-a400-44b0-81d5-b819035f14ef;Rollstuhlgängig
9ff4f920-a400-44b0-81d5-b819035f14ef;Kinderfreundlich
9ff4f920-a400-44b0-81d5-b819035f14ef;Lift
6c94fd9f-692d-42f4-a081-0d9abe3f4006;Balkon / Terrasse
6c94fd9f-692d-42f4-a081-0d9abe3f4006;Lift
8a9b2ee4-6dc1-4fd4-98d1-4d4ef561f936;Haustiere erlaubt
8a9b2ee4-6dc1-4fd4-98d1-4d4ef561f936;Balkon / Terrasse
8a9b2ee4-6dc1-4fd4-98d1-4d4ef561f936;Kabel-TV
8a9b2ee4-6dc1-4fd4-98d1-4d4ef561f936;Rollstuhlgängig
8a9b2ee4-6dc1-4fd4-98d1-4d4ef561f936;Kinderfreundlich
8a9b2ee4-6dc1-4fd4-98d1-4d4ef561f936;Parkplatz
8a9b2ee4-6dc1-4fd4-98d1-4d4ef561f936;Lift
f5687163-5c30-4fee-a3d1-bf0909c404ec;Balkon / Terrasse
f5687163-5c30-4fee-a3d1-bf0909c404ec;Garage
f5687163-5c30-4fee-a3d1-bf0909c404ec;Lift
f4f0ad72-f536-401c-91e4-3239a55c455c;Garage
f4f0ad72-f536-401c-91e4-3239a55c455c;Lift
fe1955d9-492a-486b-b919-0c3282f1bc07;Haustiere erlaubt
fe1955d9-492a-486b-b919-0c3282f1bc07;Balkon / Terrasse
fe1955d9-492a-486b-b919-0c3282f1bc07;Kabel-TV
fe1955d9-492a-486b-b919-0c3282f1bc07;Aussicht
fe1955d9-492a-486b-b919-0c3282f1bc07;Kinderfreundlich
fe1955d9-492a-486b-b919-0c3282f1bc07;Parkplatz
fe1955d9-492a-486b-b919-0c3282f1bc07;Garage
fe1955d9-492a-486b-b919-0c3282f1bc07;Swimmingpool
fe1955d9-492a-486b-b919-0c3282f1bc07;Hochparterre
d912127b-44ba-4272-9990-f315f65c15c7;Balkon / Terrasse
d912127b-44ba-4272-9990-f315f65c15c7;Parkplatz
d912127b-44ba-4272-9990-f315f65c15c7;Lift
bec7b33a-2c45-4c95-adde-ea445bb5f020;Parkplatz
d9afb58d-eab4-4161-b54d-2dfbfb1b75f2;Haustiere erlaubt
d9afb58d-eab4-4161-b54d-2dfbfb1b75f2;Balkon / Terrasse
d9afb58d-eab4-4161-b54d-2dfbfb1b75f2;Kabel-TV
d9afb58d-eab4-4161-b54d-2dfbfb1b75f2;Cheminée
d9afb58d-eab4-4161-b54d-2dfbfb1b75f2;Kinderfreundlich
d9afb58d-eab4-4161-b54d-2dfbfb1b75f2;Lift
d9afb58d-eab4-4161-b54d-2dfbfb1b75f2;Stromanschluss
d9afb58d-eab4-4161-b54d-2dfbfb1b75f2;Wasseranschluss
d9afb58d-eab4-4161-b54d-2dfbfb1b75f2;Abwasseranschluss
bcaab742-d8a5-4b34-a3c2-6d11e4f62757;Rollstuhlgängig
bcaab742-d8a5-4b34-a3c2-6d11e4f62757;Lift
bcaab742-d8a5-4b34-a3c2-6d11e4f62757;Swimmingpool
0b56c101-cb01-4b99-81bd-949df849450e;Balkon / Terrasse
0b56c101-cb01-4b99-81bd-949df849450e;Keller
0b56c101-cb01-4b99-81bd-949df849450e;Geschirrspüler
0b56c101-cb01-4b99-81bd-949df849450e;Parkplatz
