LocationId,Street,ZIP,longitude,latitude,#supermarkets,#foodandbeverage,BFS_NUMMER,NAME,Einkommenssteuer_Kanton,Einkommenssteuer_Gemeinde,Vermögenssteuer_Kanton,Vermögenssteuer_Gemeinde
78753131-6d78-4d1e-a0e5-fc8b5f430570,,6598.0,8.8496653,46.17596229999999,2,3,5131,Tenero-Contra,97.0,93.0,97.0,93.0
f0c2bc0e-55ab-4eb1-98fa-edcb4a0ee01e,via albonago 43,6962.0,8.9741129,46.0133601,0,3,5192,Lugano,97.0,77.0,97.0,77.0
fbdcde66-0fd7-4304-a83e-70ecbb0f6ae7,Via San Gottardo 41,6500.0,9.032918,46.201556,0,1,5002,Bellinzona,97.0,93.0,97.0,93.0
2d7451a3-d7e1-4dc7-babf-ab237f2c02e4,Via F. Zorzi 17,6500.0,9.0154426,46.1878995,0,6,5002,Bellinzona,97.0,93.0,97.0,93.0
2bde1434-f480-4d46-9b05-99e0c0659671,Via San Gottardo,6900.0,8.9419399,46.015976,3,3,5221,Savosa,97.0,75.0,97.0,75.0
9ef1dca5-9f48-4aa3-9a3f-91e653dd54e1,strada Növa 3,6968.0,8.9899805,46.0580532,1,1,5192,Lugano,97.0,77.0,97.0,77.0
8471d639-cef7-4700-be5b-65768d8aafea,,6922.0,8.9100162,45.9358167,0,1,5203,Morcote,97.0,80.0,97.0,80.0
ec03f7bb-74d4-4eb3-b59a-e972bf84ef2f,Via Maestri Comacini 29,6834.0,9.0185162,45.8501302,0,2,5257,Morbio Inferiore,97.0,84.0,97.0,84.0
dc822535-9c98-40fb-8892-0a038280899d,via novel 7,6967.0,8.9810293,46.0538118,0,1,5192,Lugano,97.0,77.0,97.0,77.0
11f9283c-ed92-427e-865c-66f211ad77c7,Viale Attilio Tarchini 9B,6828.0,9.0038068,45.84547509999999,0,6,5242,Balerna,97.0,80.0,97.0,80.0
0f30585c-06fb-4a3b-9202-d1b1aca980f0,Via Canonico Ghiringhelli 19,6500.0,9.0176948,46.1888972,0,18,5002,Bellinzona,97.0,93.0,97.0,93.0
83bf4db3-2610-48fb-9fe8-b8619e99096e,Via Vallone 1,6500.0,9.0335968,46.2026696,0,1,5002,Bellinzona,97.0,93.0,97.0,93.0
6bc43de2-e490-4dea-b5e0-9f88e998ae08,Via Vallone 1,6500.0,9.0335968,46.2026696,0,1,5002,Bellinzona,97.0,93.0,97.0,93.0
cd4b6bd7-af03-46cb-83cf-a285d4140afb,Via Ravecchia 34,6500.0,9.023696,46.1858897,0,4,5002,Bellinzona,97.0,93.0,97.0,93.0
0ccbdc71-c6a2-4656-9c07-e4e0a71abacd,Via Ferruccio Pelli 10,6900.0,8.9517226,46.0076595,0,79,5192,Lugano,97.0,77.0,97.0,77.0
24e07aca-730f-4ab1-9e65-4b0d89fd0bba,Via della Posta 26,6934.0,8.9117667,46.0146667,1,1,5151,Bioggio,97.0,65.0,97.0,65.0
8c123fd3-a338-4ff1-8b9c-589c7e74b819,via Canonica 8,6900.0,8.9570398,46.0065858,1,53,5192,Lugano,97.0,77.0,97.0,77.0
d4ac9ba4-61ef-4468-b5ac-a85ea8d30822,Largo L. Olgiati 73,6512.0,9.0027064,46.1735877,0,4,5002,Bellinzona,97.0,93.0,97.0,93.0
a0ed1c5f-e4c5-4b17-8492-1de44059a567,Viale Stazione 30,6500.0,9.0274427,46.1941768,1,14,5002,Bellinzona,97.0,93.0,97.0,93.0
e10b5c2d-e7bc-4e2d-9146-e8d876dd3653,Via Carlo Pereda,6828.0,9.0167414,45.8407175,0,1,5242,Balerna,97.0,80.0,97.0,80.0
d6c49ad2-c662-4086-b172-361a5cb9df09,Via Luvee,6855.0,8.9443166,45.8548179,1,1,5266,Stabio,97.0,65.0,97.0,65.0
95810886-cf4a-46f7-82ca-fc3cc0e95ad5,Strada Regina,6928.0,8.9179136,46.0320449,0,4,5194,Manno,97.0,65.0,97.0,65.0
1a803863-0bc2-4240-b006-13e0f8cf97c6,Via Rovere 11,6932.0,8.934785399999999,46.0085841,4,5,5192,Lugano,97.0,77.0,97.0,77.0
