LocationId;Street;ZIP;longitude;latitude
78753131-6d78-4d1e-a0e5-fc8b5f430570;;6598;NULL;NULL
f0c2bc0e-55ab-4eb1-98fa-edcb4a0ee01e;via albonago 43;6962;NULL;NULL
fbdcde66-0fd7-4304-a83e-70ecbb0f6ae7;Via San Gottardo 41;6500;NULL;NULL
2d7451a3-d7e1-4dc7-babf-ab237f2c02e4;Via F. Zorzi 17;6500;NULL;NULL
2bde1434-f480-4d46-9b05-99e0c0659671;Via San Gottardo;6900;NULL;NULL
9ef1dca5-9f48-4aa3-9a3f-91e653dd54e1;strada Növa 3;6968;NULL;NULL
8471d639-cef7-4700-be5b-65768d8aafea;;6922;NULL;NULL
ec03f7bb-74d4-4eb3-b59a-e972bf84ef2f;Via Maestri Comacini 29;6834;NULL;NULL
dc822535-9c98-40fb-8892-0a038280899d;via novel 7;6967;NULL;NULL
11f9283c-ed92-427e-865c-66f211ad77c7;Viale Attilio Tarchini 9B;6828;NULL;NULL
0f30585c-06fb-4a3b-9202-d1b1aca980f0;Via Canonico Ghiringhelli 19;6500;NULL;NULL
83bf4db3-2610-48fb-9fe8-b8619e99096e;Via Vallone 1;6500;NULL;NULL
6bc43de2-e490-4dea-b5e0-9f88e998ae08;Via Vallone 1;6500;NULL;NULL
cd4b6bd7-af03-46cb-83cf-a285d4140afb;Via Ravecchia 34;6500;NULL;NULL
0ccbdc71-c6a2-4656-9c07-e4e0a71abacd;Via Ferruccio Pelli 10;6900;NULL;NULL
24e07aca-730f-4ab1-9e65-4b0d89fd0bba;Via della Posta 26;6934;NULL;NULL
8c123fd3-a338-4ff1-8b9c-589c7e74b819;via Canonica 8;6900;NULL;NULL
d4ac9ba4-61ef-4468-b5ac-a85ea8d30822;Largo L. Olgiati 73;6512;NULL;NULL
a0ed1c5f-e4c5-4b17-8492-1de44059a567;Viale Stazione 30;6500;NULL;NULL
e10b5c2d-e7bc-4e2d-9146-e8d876dd3653;Via Carlo Pereda;6828;NULL;NULL
d6c49ad2-c662-4086-b172-361a5cb9df09;Via Luvee;6855;NULL;NULL
95810886-cf4a-46f7-82ca-fc3cc0e95ad5;Strada Regina;6928;NULL;NULL
1a803863-0bc2-4240-b006-13e0f8cf97c6;Via Rovere 11;6932;NULL;NULL
403df731-4384-4951-be3d-2afbd0aca587;;6612;NULL;NULL
9883abe9-5bbb-4d49-9412-185a6dd84818;Via Chiblee 39;6514;NULL;NULL
4ce0373b-1666-446d-b2e0-2af4d93a99cf;;6987;NULL;NULL
964d4319-cc59-4720-9b1f-31fda66e2223;Via A. Nessi 42;6605;NULL;NULL
414fe82a-6499-4ba3-9546-a7de0fe7fdd5;Via Clemente Maraini 24/Via Giroggio 2;6900;NULL;NULL
39837ec1-3ff2-4032-9587-3f0b0032ca71;;6900;NULL;NULL
ce1e7683-2e5d-4e21-9e0b-f6d293d709db;VIA GAGGIOLO 55;6855;NULL;NULL
6dd47421-08ba-4dca-be7f-4945c9490350;Via Cantonale 36;6995;NULL;NULL
a5b877aa-6edf-4e27-83b5-c8316cb5415f;CORSO SAN GOTTARDO 74;6830;NULL;NULL
c7ac4f06-8256-44fa-a6ef-9095febbc1a1;Via Motta 8;6830;NULL;NULL
69c5f649-1690-4c3a-8ebe-a5bc95f243a5;Via Soave 11;6830;NULL;NULL
1247e06d-a387-47db-9ab8-b342c318020d;VIA CEREDA 7C;6828;NULL;NULL
4b666b51-1ed2-4ee4-9869-82e405c736d1;CORSO SAN GOTTARDO 54C;6830;NULL;NULL
2101ec5c-1666-4537-99f7-9fa183cca8bf;VIA P.L.CHIESA 5;6830;NULL;NULL
533b7336-39f9-4bd3-85db-e462b2a427a1;via Camillo Olgiati 20;6512;NULL;NULL
2c9f0369-e173-4c54-958e-a8df7a832267;Via Flora Ruchat-Roncati 4B;6850;NULL;NULL
eae86c8a-79ff-43c2-850a-2d014faae37a;Viale C. Olgiati 20;6512;NULL;NULL
ca675559-267c-4658-8217-58fc3b8e1cfb;Viale C. Olgiati 20;6512;NULL;NULL
ae33c127-369e-4d35-826e-956a6cc46498;Viale C. Olgiati 20;6512;NULL;NULL
a4e9b52c-f2ee-459f-ad1f-010ce722ba4f;via selva 4;6900;NULL;NULL
de5b89e1-78c5-458f-8ebe-f0f3d2a487ac;;6816;NULL;NULL
67dc6da0-935a-4922-a721-3e12614110b6;Via alla Perfetta 5;6864;NULL;NULL
c7cb8e2d-6bd4-4cc5-a794-b32e01a7c866;Carì Croce 2;6760;NULL;NULL
718040f4-727c-4def-b55f-64597cbb4e44;Via Streciöö 3;6987;NULL;NULL
609236de-1bdf-45bc-ad0f-9b3efbb59526;Via Oscar Camponovo 19;6832;NULL;NULL
3cda9b12-ac43-45f0-9b20-4c57bdaf3bcf;Via Calprino 5;6900;NULL;NULL
5f7c4c03-dbc3-4309-85bc-545d9c91701f;Via Rusca 1;6833;NULL;NULL
a701b126-8f47-4bba-9b48-71260a3d9693;Lungolago Giuseppe Motta 2;6815;NULL;NULL
9b1dad05-1b09-4dcc-af71-38a9606e0b0c;;6900;NULL;NULL
861e3333-ccbf-4509-8e52-e9ca3cc6cdbc;;6900;NULL;NULL
908e9843-2cef-42c5-ab2f-db6395458d6b;;6900;NULL;NULL
23a82a80-4cd3-4f82-a79d-60aea1ba83ea;;6900;NULL;NULL
8246dc73-c952-4376-9e28-08b910fac3a9;Via Costera;6932;NULL;NULL
829feb47-4e02-4e62-a9fd-f77138f4a904;Via Ronchetti 20;6518;NULL;NULL
08bd7ba9-15c8-4f65-b47e-440d89593bf7;Via dei Faggi 23;6912;NULL;NULL
1e80493b-e4cb-4851-b4a5-32f92d400f09;;6964;NULL;NULL
72bd21b1-1693-4984-9ad0-b001e676a7d6;via Giuseppe Lanz;6850;NULL;NULL
f3bb05b2-6d3b-48b1-a332-98b71eed5045;Via del Municipio 10;6900;NULL;NULL
3c7e4eb3-f8f7-45c1-9409-59b389037dcb;;6963;NULL;NULL
35003fad-c08a-4878-a2ca-a6c5cb680d29;Via Ceresol;6648;NULL;NULL
4d97a905-6419-4935-9904-85c04fb40c20;.;6816;NULL;NULL
edb47098-721e-47a8-bf84-51c2aa13adf3;.;6900;NULL;NULL
10a4a1f2-31ef-4280-b317-e047f1bf65a4;Strada Regina 32;6928;NULL;NULL
ea768874-2ac5-45c3-95ff-e23d0e5472e2;Corso Elvezia;6900;NULL;NULL
15e8492a-e87e-4469-a825-e58524f686fc;Via Carlo Salvioni 2;6500;NULL;NULL
c25df471-19d3-4291-b3be-d503c5876234;Via Sartori 8a;6512;NULL;NULL
d4ebf4bc-067b-4c56-95b5-98289851a16e;Via Cantonale 74;6613;NULL;NULL
ead7d97c-7204-4e59-bf69-f01fd5892684;Via Canaa 9;6533;NULL;NULL
0bb622fe-d10e-413d-9dac-d801fcc7e524;Via Crivelli Torricelli;6900;NULL;NULL
c9b2b108-3bad-401f-8867-e97835ed36ff;;6900;NULL;NULL
2e0d21ec-849b-4822-9b4e-d510ccbb3f7a;Stráda dra Stámpa 12;6967;NULL;NULL
e7913f2b-d90a-41a1-a58e-4b001daf7d17;Via Giacomo Brentani 3;6900;NULL;NULL
87069ead-c3fa-4299-bdda-a1a3284b1802;Via Molinazzo 7;6962;NULL;NULL
99725610-8aa3-4ae6-a938-e308be369f76;Via Sociale 10;6600;NULL;NULL
0a58ba4a-449f-4c95-ad45-b4d4f1f3e847;Via Cantonale 37;6705;NULL;NULL
3bf0115d-080e-4aa9-9f2a-31c10fd1b1bb;;6745;NULL;NULL
7d8aa839-4f0c-4c68-86e2-81fbf5c286f4;;6926;NULL;NULL
a886163b-6e3d-410c-9b6c-9eae5bdcf2f4;Via Melera 14;6583;NULL;NULL
7e36a9b2-8cf5-4100-b905-88c3f3e0a62c;;6850;NULL;NULL
2e257574-27bc-4b71-80e8-bf3ee5960bb3;Via Tesserete 45;6900;NULL;NULL
4ba14e19-d6a7-4fd2-8633-c54055a8f2ab;Via dei Faggi;6912;NULL;NULL
be05e8e5-9a15-4815-b0f7-f76ef0ce4c97;Via Boggia 8;6900;NULL;NULL
204cd423-749e-45d1-b0b9-36044c9c3ebb;via san gottardo;6500;NULL;NULL
dd72b8b1-1540-4add-b1d5-1c919f6f94f6;;6928;NULL;NULL
50a2cbc9-f22f-46fb-8dd7-ab7383a2fbae;;6710;NULL;NULL
9f221974-47b0-4399-9226-6cfe7018f5a5;;6852;NULL;NULL
59518d7b-e902-49a6-ad35-b5ad8edc4cae;;6926;NULL;NULL
97a3ef0a-a143-4501-81e1-052389263802;Via Grancia 10;6916;NULL;NULL
5676c201-132d-41dd-b833-18d3e7cc1078;Via Verbano 23A Minusio;6648;NULL;NULL
c669989d-ae33-4ee3-8cbd-2b167c9431e3;.;6874;NULL;NULL
e6649138-5e85-4ea1-8482-203d0b8e03a5;.;6850;NULL;NULL
670e6be0-0b29-4522-844c-ba0b015ad110;.;6834;NULL;NULL
18199461-c2da-45cd-8876-2a5e0cc64183;.;6834;NULL;NULL
6d13d53e-e171-4942-ac7b-37fba2705d26;;6900;NULL;NULL
0042b480-d353-41ba-90c8-72317de42fca;Via Luigi Lavizzari 3;6830;NULL;NULL
39bb9b65-376d-459d-839d-f7dc55fe0a45;Via Poeta Francesco Chiesa 15;6833;NULL;NULL
077ec6f8-1d5e-478c-96ce-92d19526f3ed;;6855;NULL;NULL
9a1048b6-aa9b-45a2-bfe1-3c93051ee00b;via San Gottardo 80A;6648;NULL;NULL
b1e38014-123a-422b-acc9-0ed8cbda847c;;6612;NULL;NULL
f56b5aeb-f222-47c2-96f0-25d13ff2f1dc;Via Balbio;6834;NULL;NULL
61a6787e-cc0d-4a2d-a7c1-f26cfdc118eb;Via San Gottardo 5;6828;NULL;NULL
796fe0b7-7a4e-4258-9b77-ba2ec05244b8;Via Verbano 23A Minusio;6648;NULL;NULL
